公司代码,公司简称,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股简称,B股上市日期,B股总股本,B股流通股本,地      区,省    份,城     市,所属行业,公司网址
000030,富奥股份,富奥汽车零部件股份有限公司,FAWER Automotive Parts Limited Company,吉林省长春市汽车经济技术开发区东风南街777号,000030,富奥股份,1993-09-29,"1,762,733,196","1,759,880,870",200030,富奥B,1993-09-29,"47,818,915","47,818,915",东北,吉林,长春市,C 制造业,
000037,深南电A,深圳南山热电股份有限公司,"SHENZHEN NANSHAN POWER STATION CO.,LTD",广东省深圳市南山区月亮湾大道2097号,000037,深南电A,1994-07-01,"338,908,150","338,894,011",200037,深南电B,1994-11-28,"263,854,446","263,854,446",华南,广东,深圳市,D 水电煤气,www.nsrd.com.cn
000045,深纺织Ａ,深圳市纺织(集团)股份有限公司,"SHENZHEN TEXTILE (HOLDINGS) CO., LTD",广东省深圳市福田区华强北路3号深纺大厦6楼,000045,深纺织Ａ,1994-08-15,"459,838,429","457,017,874",200045,深纺织Ｂ,1994-08-15,"49,500,000","49,428,000",华南,广东,深圳市,C 制造业,www.chinasthc.com
000054,建车B,重庆建设汽车系统股份有限公司,"Chongqing Jianshe Vehicle System Co., Ltd",重庆市巴南区花溪工业园区建设大道1号,,,,0,0,200054,建车B,1995-07-25,"30,000,000","30,000,000",西南,重庆,重庆市,C 制造业,www.jianshe.com.cn
000055,方大集团,方大集团股份有限公司,"CHINA FANGDA GROUP CO., LTD",广东省深圳市南山区高新技术产业园南区科技南十二路方大科技大厦,000055,方大集团,1996-04-15,"679,715,472","678,283,904",200055,方大Ｂ,1995-11-29,"443,668,717","443,668,717",华南,广东,深圳市,C 制造业,www.fangda.com
000056,皇庭国际,深圳市皇庭国际企业股份有限公司,"SHENZHEN WONGTEE INTERNATIONAL ENTERPRISE CO., LTD.",广东省深圳市福田区福田街道岗厦社区福华路350号岗厦皇庭大厦28A01单元,000056,皇庭国际,1996-07-08,"931,293,708","903,728,783",200056,皇庭B,1995-10-30,"243,235,012","242,206,293",华南,广东,深圳市,L 商务服务,www.wongtee000056.com
000058,深 赛 格,深圳赛格股份有限公司,"SHENZHEN SEG CO.,LTD",广东省深圳市福田区华强北路群星广场A座三十一楼,000058,深 赛 格,1996-12-26,"989,194,931","538,204,817",200058,深赛格B,1996-07-22,"246,461,318","246,358,838",华南,广东,深圳市,L 商务服务,www.segcl.com.cn
000152,山  航Ｂ,山东航空股份有限公司,"SHANDONG AIRLINES CO.,LTD",山东省济南市遥墙国际机场,,,,0,0,200152,山  航Ｂ,2000-09-12,"140,000,000","140,000,000",华东,山东,济南市,G 运输仓储,www.shandongair.com.cn
000160,东沣B,东沣科技集团股份有限公司,"DongfengSci-Tech Group CO.,LTD",河北省承德市承德县下板城镇,,,,0,0,200160,东沣B,2000-09-29,"461,520,000","461,515,575",华北,河北,承德市,K 房地产,
000168,*ST舜喆B,广东舜喆（集团）股份有限公司,GUANGDONG JADIETE HOLDINGS GROUP COMPANY LIMITED,广东省普宁市军埠镇美新工业园,,,,0,0,200168,*ST舜喆B,2000-10-27,"154,575,000","154,563,600",华南,广东,揭阳市,K 房地产,www.rieys.com
