公司代码,公司简称,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股 简 称,B股上市日期,B股总股本,B股流通股本,地      区,省    份,城     市,所属行业,公司网址
300616,<a href='http://www.szse.cn/certificate/individual/index.html?code=300616' target='_blank'><u>尚品宅配</u></a>,广州尚品宅配家居股份有限公司,"Guangzhou Shangpin Home Collection Co., Ltd",广东省广州市天河区花城大道85号3501房之自编01-05单元,300616,尚品宅配,2017-03-07,"198,702,000","66,955,940",,,,0,0,华南,广东,广州市,C 制造业,www.spzp.com
300617,<a href='http://www.szse.cn/certificate/individual/index.html?code=300617' target='_blank'><u>安靠智电</u></a>,江苏安靠智能输电工程科技股份有限公司,"Jiangsu Ankura Smart Transmission Engineering Technology Co.,Ltd.",江苏省溧阳市经济开发区天目湖工业园,300617,安靠智电,2017-02-28,"100,005,000","36,705,000",,,,0,0,华东,江苏,常州市,C 制造业,www.ankura.com.cn
300618,<a href='http://www.szse.cn/certificate/individual/index.html?code=300618' target='_blank'><u>寒锐钴业</u></a>,南京寒锐钴业股份有限公司,"Nanjing Hanrui Cobalt Co.,Ltd.",江苏省南京市江宁经济技术开发区静淮街115号,300618,寒锐钴业,2017-03-06,"192,000,000","113,984,000",,,,0,0,华东,江苏,南京市,C 制造业,www.hrcobalt.com
300619,<a href='http://www.szse.cn/certificate/individual/index.html?code=300619' target='_blank'><u>金银河</u></a>,佛山市金银河智能装备股份有限公司,"Foshan Golden Milky Way Intelligent Equipment Co., Ltd.",广东省佛山市三水区西南街道宝云路6号一、二、四、五、六、七座,300619,金银河,2017-03-01,"74,680,000","30,462,160",,,,0,0,华南,广东,佛山市,C 制造业,www.goldenyh.com
300620,<a href='http://www.szse.cn/certificate/individual/index.html?code=300620' target='_blank'><u>光库科技</u></a>,珠海光库科技股份有限公司,"Advanced Fiber Resources (Zhuhai), Ltd.",广东省珠海市软件园路1号生产加工中心5#楼二层1-6单元、8单元,300620,光库科技,2017-03-10,"88,000,000","22,000,000",,,,0,0,华南,广东,珠海市,C 制造业,www.afrlaser.com
300621,<a href='http://www.szse.cn/certificate/individual/index.html?code=300621' target='_blank'><u>维业股份</u></a>,深圳市维业装饰集团股份有限公司,"ShenZhen WeiYe Decoration Group Co.,LTD.",广东省深圳市福田区新洲路以西、莲花路以南振业景洲大厦裙楼101,300621,维业股份,2017-03-16,"207,931,500","63,857,144",,,,0,0,华南,广东,深圳市,E 建筑业,www.szweiye.com
300622,<a href='http://www.szse.cn/certificate/individual/index.html?code=300622' target='_blank'><u>博士眼镜</u></a>,博士眼镜连锁股份有限公司,"DOCTORGLASSES CHAIN CO., LTD",广东省深圳市罗湖区桂园街道深南东路5016号京基一百大厦A座2201-02单元,300622,博士眼镜,2017-03-15,"87,010,000","38,350,000",,,,0,0,华南,广东,深圳市,F 批发零售,www.doctorglasses.com.cn
300623,<a href='http://www.szse.cn/certificate/individual/index.html?code=300623' target='_blank'><u>捷捷微电</u></a>,江苏捷捷微电子股份有限公司,"Jiangsu JieJie Microelectronics Co.,Ltd.",江苏省启东市科技创业园兴龙路8号,300623,捷捷微电,2017-03-14,"179,742,660","80,070,750",,,,0,0,华东,江苏,南通市,C 制造业,www.jjwdz.com
300624,<a href='http://www.szse.cn/certificate/individual/index.html?code=300624' target='_blank'><u>万兴科技</u></a>,万兴科技股份有限公司,"Wondershare Technology Co., Ltd",西藏自治区柳梧新区东环路以西、1-4路以北、1-3路以南、柳梧大厦以东8栋2单元6层2号,300624,万兴科技,2018-01-18,"80,000,000","20,000,000",,,,0,0,西南,西藏,拉萨市,I 信息技术,www.wondershare.cn
300625,<a href='http://www.szse.cn/certificate/individual/index.html?code=300625' target='_blank'><u>三雄极光</u></a>,广东三雄极光照明股份有限公司,"Guangdong PAK Corporation Co., Ltd.",广东省广州市番禺区石壁街韦涌工业区132号,300625,三雄极光,2017-03-17,"280,000,000","92,327,552",,,,0,0,华南,广东,广州市,C 制造业,www.pak.com.cn
300626,<a href='http://www.szse.cn/certificate/individual/index.html?code=300626' target='_blank'><u>华瑞股份</u></a>,华瑞电器股份有限公司,"Huarui Electrical Appliance Co.,Ltd.",浙江省宁波市鄞州区姜山镇科技园区,300626,华瑞股份,2017-03-20,"180,000,000","93,876,525",,,,0,0,华东,浙江,宁波市,C 制造业,www.china-commutator.com
300627,<a href='http://www.szse.cn/certificate/individual/index.html?code=300627' target='_blank'><u>华测导航</u></a>,上海华测导航技术股份有限公司,SHANGHAI HUACE NAVIGATION TECHNOLOGY LTD.,上海市青浦区高泾路599号D楼3层,300627,华测导航,2017-03-21,"246,545,000","100,797,146",,,,0,0,华东,上海,上海市,C 制造业,www.huace.cn
300628,<a href='http://www.szse.cn/certificate/individual/index.html?code=300628' target='_blank'><u>亿联网络</u></a>,厦门亿联网络技术股份有限公司,YEALINK NETWORK TECHNOLOGY CORPORATION LIMITED,福建省厦门市湖里区云顶北路16号三楼309,300628,亿联网络,2017-03-17,"298,680,000","74,680,000",,,,0,0,华东,福建,厦门市,C 制造业,www.yealink.com.cn
300629,<a href='http://www.szse.cn/certificate/individual/index.html?code=300629' target='_blank'><u>新劲刚</u></a>,广东新劲刚新材料科技股份有限公司,"KING-STRONG NEW MATERIAL TECHNOLOGY CO.,LTD.",广东省佛山市南海区丹灶镇五金工业区博金路6号办公楼及车间,300629,新劲刚,2017-03-24,"100,000,050","43,266,456",,,,0,0,华南,广东,佛山市,C 制造业,www.king-strong.com
300630,<a href='http://www.szse.cn/certificate/individual/index.html?code=300630' target='_blank'><u>普利制药</u></a>,海南普利制药股份有限公司,"Hainan Poly Pharm. Co., Ltd.",海南省海口市美兰区桂林洋经济开发区,300630,普利制药,2017-03-28,"183,176,430","98,976,495",,,,0,0,华南,海南,海口市,C 制造业,www.hnpoly.com
